text,aspect,y
"Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri.",LOCATION#GENERAL,positive
Ve deneyim maalesef çok da olumlu olmadı.,RESTAURANT#GENERAL,negative
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",FOOD#QUALITY,positive
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",FOOD#QUALITY,positive
"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",SERVICE#GENERAL,negative
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",FOOD#QUALITY,negative
Servis:,FOOD#QUALITY,negative
4 Fiyat:,FOOD#QUALITY,negative
5 Mekan:,FOOD#QUALITY,negative
8 Lezzet:,FOOD#QUALITY,negative
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",FOOD#QUALITY,positive
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,FOOD#QUALITY,positive
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,RESTAURANT#GENERAL,positive
Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,FOOD#QUALITY,positive
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",FOOD#QUALITY,positive
Burada caylar harika!,DRINKS#QUALITY,positive
Bourbon Vanilla 34 numarali cay.,DRINKS#QUALITY,positive
Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,FOOD#QUALITY,positive
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,AMBIENCE#GENERAL,negative
Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,DRINKS#STYLE_OPTIONS,positive
"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",RESTAURANT#GENERAL,positive
"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",AMBIENCE#GENERAL,positive
Hemde canlı müzikle :,AMBIENCE#GENERAL,positive
Daha iyisi var.,RESTAURANT#GENERAL,negative
Buranin doneri dedikleri kadar efsane degil.,FOOD#QUALITY,negative
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",FOOD#QUALITY,negative
Ortami da begenmedim kalabalik 3. Sinif bir yer.,AMBIENCE#GENERAL,negative
Bir daha gitmem,RESTAURANT#GENERAL,negative
"Eti lezzetli, mekan gösterişli.",AMBIENCE#GENERAL,positive
Ama sunum resmen sıfır.,SERVICE#GENERAL,negative
30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,FOOD#STYLE_OPTIONS,negative
Havuç dilimi ise aşırı yağlı ve şerbetli.,FOOD#QUALITY,negative
Pek yaratıcı özel bir yanı yok.,RESTAURANT#GENERAL,negative
Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,SERVICE#GENERAL,negative
"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",SERVICE#GENERAL,negative
"Olmadı Big Chefs, zincirsin sen...",RESTAURANT#GENERAL,negative
Leventte ki buyuk alisveris merkezlerinden cok sıkılmış olarak buraya gidelim dedik.,RESTAURANT#GENERAL,negative
Ben kofte durum arkadasim tavuk WRAP( menu de meksika mutfagi olarak adlandirilmis bolumde ismi böyle geciyordu biz garson beye tavuk durum diyince garson bey buyuk bi titizlikle onun wrap oldugunu soyledi) istedi.,RESTAURANT#GENERAL,negative
Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,FOOD#STYLE_OPTIONS,negative
Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,SERVICE#GENERAL,negative
"Tavuklar kupkuruydu, kofte durum ise siradandi.",FOOD#QUALITY,neutral
Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,FOOD#QUALITY,negative
"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",FOOD#STYLE_OPTIONS,neutral
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,FOOD#STYLE_OPTIONS,negative
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",SERVICE#GENERAL,negative
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",SERVICE#GENERAL,negative
"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",FOOD#STYLE_OPTIONS,positive
Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,RESTAURANT#GENERAL,positive
Gidilebilecek iyi yerlerden birisi.,RESTAURANT#GENERAL,positive
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,SERVICE#GENERAL,negative
Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,SERVICE#GENERAL,negative
Diger Mado subeleri kadar genis bir menü seçenekleri yok.,SERVICE#GENERAL,negative
Klasik dondurma spesiyalleri ve tatlililari var.,FOOD#STYLE_OPTIONS,neutral
"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",RESTAURANT#GENERAL,negative
Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,SERVICE#GENERAL,negative
Internetteki resimlerinden göründügü kadar güzel degildi.,AMBIENCE#GENERAL,negative
Su böregi ile kahvalti yaptim bugün.,AMBIENCE#GENERAL,negative
Su böregi oldukça lezzetli idi.,FOOD#QUALITY,positive
Çay kötü müydü?,DRINKS#QUALITY,neutral
"Hayir, çok taze ve lezzetliydi.",FOOD#QUALITY,positive
Beklentimin üstündeydi.,RESTAURANT#GENERAL,positive
Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,RESTAURANT#GENERAL,positive
Dügünler falan da yapilir.,RESTAURANT#GENERAL,positive
Ama konaklamasi yok diye biliyorum.,RESTAURANT#GENERAL,positive
Yazin daha zevkli oluyor manzaraya karsi oturmasi.,AMBIENCE#GENERAL,positive
Marmara ögrencilerine de indirimli fiyat uygulamasi var.,RESTAURANT#PRICES,positive
O yüzden de bizim için avantajli oluyor.,RESTAURANT#PRICES,positive
"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.",FOOD#STYLE_OPTIONS,positive
Kuaförü de çok ucuz ve iyi ayrica.,RESTAURANT#MISCELLANEOUS,positive
Daha ne olsun =),RESTAURANT#GENERAL,positive
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,AMBIENCE#GENERAL,positive
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,FOOD#PRICES,negative
Paranız çoksa deneyin ama şart da değil:,RESTAURANT#GENERAL,neutral
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,AMBIENCE#GENERAL,negative
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",LOCATION#GENERAL,negative
Sira bekleme olayi ise çok kötü...,SERVICE#GENERAL,negative
Aci sevmeyenlere uygun bir mekan degil.,RESTAURANT#GENERAL,neutral
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",AMBIENCE#GENERAL,positive
Sadece meze yiyin.,FOOD#QUALITY,negative
Her hafta gelmeye çalışıyoruz.,RESTAURANT#GENERAL,positive
"Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.",FOOD#STYLE_OPTIONS,positive
Rekorum 9 meze!,FOOD#STYLE_OPTIONS,positive
Balığın fast food gibi yenildiği yer.,FOOD#STYLE_OPTIONS,neutral
Yavaş yavaş balık keyfi yapmak isterseniz önermem.,FOOD#STYLE_OPTIONS,negative
Servisi çok hızlı.,SERVICE#GENERAL,positive
Mısır ekmeği de sıcacık bayılıyorum.,FOOD#QUALITY,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",AMBIENCE#GENERAL,positive
) Evet aynen böyle olmuştu Dem'de...,AMBIENCE#GENERAL,positive
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",RESTAURANT#GENERAL,positive
Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası...,RESTAURANT#GENERAL,positive
Neden şimdiye kadar gelmemişim dedim.,RESTAURANT#GENERAL,positive
Servisten de oldukça memnun kaldık.,SERVICE#GENERAL,positive
Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,AMBIENCE#GENERAL,positive
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.,AMBIENCE#GENERAL,negative
Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.,AMBIENCE#GENERAL,negative
Garsonlar iyi.,SERVICE#GENERAL,positive
Ürünlerin lezzeti diğer Sütiş'lerle aynı.,SERVICE#GENERAL,positive
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.",SERVICE#GENERAL,negative
Kesinlikle tavsiye etmiyorum.,RESTAURANT#GENERAL,negative
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.,RESTAURANT#GENERAL,negative
Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.,RESTAURANT#PRICES,negative
Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.,FOOD#STYLE_OPTIONS,negative
Mezeler de vasatın üzerinde.,FOOD#QUALITY,neutral
Balkon/teras bölümü de cidden çok küçük.,AMBIENCE#GENERAL,negative
Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.,AMBIENCE#GENERAL,negative
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.,SERVICE#GENERAL,negative
Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.,SERVICE#GENERAL,negative
Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler.,RESTAURANT#GENERAL,negative
Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.,AMBIENCE#GENERAL,neutral
Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,SERVICE#GENERAL,negative
"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat.",FOOD#QUALITY,positive
"Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin",FOOD#QUALITY,positive
Istanbulda baklavanın adresi.,FOOD#QUALITY,positive
"Karaköyden, Eminönünden geçerken uğramalısınız.",RESTAURANT#GENERAL,positive
Sadece baklava değil karışık tabak yaptırın.,FOOD#QUALITY,positive
Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim,FOOD#QUALITY,positive
"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",AMBIENCE#GENERAL,positive
Burayi seviyorum gerçekten.,RESTAURANT#GENERAL,positive
ortaya karisik söylerseniz herseyin tadina bakabilirsiniz.,RESTAURANT#GENERAL,positive
Hersey lezzetli statüsüne çok yakin.,FOOD#QUALITY,positive
Keyifli vakit geçirirsiniz emin olun.,RESTAURANT#GENERAL,positive
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...",DRINKS#PRICES,negative
"Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.",AMBIENCE#GENERAL,negative
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı .,FOOD#STYLE_OPTIONS,positive
mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor .,FOOD#QUALITY,positive
bunun haricinde çalışanların ilgiside gayet iyi,SERVICE#GENERAL,positive
Tam bir hayal kırıklığı.,RESTAURANT#GENERAL,negative
Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi.,FOOD#QUALITY,negative
Hamburgerleri vasat.,FOOD#QUALITY,neutral
Çok çok kötü,RESTAURANT#GENERAL,negative
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla.,RESTAURANT#GENERAL,negative
Porsiyonları çok küçük fiyatlar çok Pahalı.,FOOD#STYLE_OPTIONS,negative
Garsonlar ilgisiz çayları kötü.,SERVICE#GENERAL,negative
Arada bir belki tatlı yemeye gidilebilir.,FOOD#QUALITY,positive
O da manzarası için.,AMBIENCE#GENERAL,positive
Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan.,DRINKS#STYLE_OPTIONS,positive
Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında.,DRINKS#QUALITY,positive
"Servis kaliteli, çalışanları ise inanılmaz ilgili.",SERVICE#GENERAL,positive
Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da.,DRINKS#STYLE_OPTIONS,positive
Mekandaki müzik seçimleri de harika.,AMBIENCE#GENERAL,positive
Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.,SERVICE#GENERAL,negative
Mekan güzel ferah.,AMBIENCE#GENERAL,positive
Servis çok hızlı.,SERVICE#GENERAL,positive
Çok fazla çeşit var.,FOOD#STYLE_OPTIONS,positive
Bazı çeşitler kebapla çok alakasız olabiliyor.,FOOD#STYLE_OPTIONS,negative
Fiyatları makul.,RESTAURANT#PRICES,positive
Yemekler lezzetli,FOOD#QUALITY,positive
"Manzara güzel,yemekler güzel ama servis berbat.",SERVICE#GENERAL,negative
Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu.,DRINKS#QUALITY,negative
Sonra değiştirip damacana suyu ile yaptılar.,DRINKS#QUALITY,negative
Kısacası berbat.,RESTAURANT#GENERAL,negative
Sahura arkadaslarla gittik.,RESTAURANT#GENERAL,negative
Açik büfe sahurdu.,RESTAURANT#GENERAL,negative
"Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli.",FOOD#QUALITY,positive
servisi gayet iyi.,SERVICE#GENERAL,positive
"Tesis, Fethi Pasa korulugunun içinde yer aliyor.",LOCATION#GENERAL,neutral
Etler kalitesi ortalama.,FOOD#QUALITY,neutral
Lezzet ortalama.,FOOD#QUALITY,neutral
Neyle kıyaslanarak çok beğenildiğini merak ediyorum açıkçası.,RESTAURANT#GENERAL,negative
Mekan güzel.,RESTAURANT#GENERAL,positive
Bu et bu parayı asla hak etmiyor.,FOOD#QUALITY,negative
Nasıl ve neden bilmiyorum Florya Şazeli'de etin daha lezzetli olduğu söyleniyor.,FOOD#QUALITY,negative
Oraya da gidip tadacağım.,FOOD#QUALITY,negative
Kuru fasulye için gidilir.,FOOD#QUALITY,positive
Güzel yapıyorlar.,FOOD#QUALITY,positive
"Pilav, ayran eşliğinde iyi bir menü.",FOOD#QUALITY,positive
"Ama servis konusunda personelinden memnun değilim, bu konuda kendilerini inş.",SERVICE#GENERAL,negative
değiştirirler,SERVICE#GENERAL,negative
Mart ayinin son gunu bugun berbatti burasi.,RESTAURANT#GENERAL,negative
"Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi.",FOOD#QUALITY,negative
Normalde sevdigim bir kahvalticiydi bgn ne yedigimi anladim ne bisi!,FOOD#QUALITY,negative
Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev.,RESTAURANT#GENERAL,positive
"İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.",AMBIENCE#GENERAL,positive
Kışın daha çok tercih edilebilecek bir yer ama yazın da gidilir gidilmesine.,RESTAURANT#GENERAL,positive
Sunduklari lezzetleri ve gösterdikleri ilgi ile Küçük Ev sayesinde güzel bir aksam geçirdik.,FOOD#QUALITY,positive
Ardindan en çok begendigim ise döner oldu.,FOOD#QUALITY,positive
"Güzel, sik ve ferah bir ortami var.",AMBIENCE#GENERAL,positive
Özellikle restorantin tam ortasindaki agaç çok hosuma gitti.,AMBIENCE#GENERAL,positive
Bence asla kesilmemesi lazim.,AMBIENCE#GENERAL,positive
O agaci korumak için gösterdiginiz çaba kesinlikle isletmenizin sayginligini fazlasiyla arttiracaktir.,AMBIENCE#GENERAL,positive
Hazir ürünlerden çok yöresel ve kendi üretimleri ürünleri kullaniyor oluslari çok hosuma gitti.,FOOD#STYLE_OPTIONS,positive
Trabzon ve Rizeden gelen kavurmalar ile yapilan kasarli ve kavurmali pide beni benden aldi.,FOOD#QUALITY,positive
Harikaydi...,RESTAURANT#GENERAL,positive
Gayet lezzetliydi.,FOOD#QUALITY,positive
Bence buraya yolunuz düserse dönerini ve kavurmali pidesini kesinlik denemenizi öneririm.,FOOD#QUALITY,positive
Diger yediklerimizide begendim hepsi güzellerdi.,FOOD#QUALITY,positive
Kendi üretimleri manda yogurtlarinida denemenizde fayda var.,FOOD#QUALITY,positive
Tatlilardan ise en çok kazandibini ve kaymakli ayva tatlisini begendim.,FOOD#QUALITY,positive
